number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,action_noise,actor_lr,batch_size,buffer_size,critic_lr,gamma,k,tau,_number
36,TrialState.COMPLETE,7.0,2019-08-13 22:37:36.344756,2019-08-13 22:58:48.525192,0.7285573975501831,0.0001,128,10000,0.001,0.9999,1,0.0005,36
37,TrialState.COMPLETE,1.8,2019-08-13 22:58:48.533714,2019-08-13 23:04:41.788029,0.9263507082313873,0.0001,32,100000,0.0005,0.9999,5,0.001,37
38,TrialState.COMPLETE,10.0,2019-08-13 23:04:41.796275,2019-08-13 23:38:41.712918,0.9261814267064536,0.0001,256,100000,0.0005,0.999,7,0.01,38
39,TrialState.COMPLETE,10.0,2019-08-13 23:38:41.721392,2019-08-13 23:55:54.909406,0.3545772293681615,0.1,64,10000,0.005,0.995,8,0.001,39
40,TrialState.COMPLETE,0.35,2019-08-13 23:55:54.918321,2019-08-13 23:57:23.778200,0.9613172622555156,0.001,128,10000,0.01,0.999,6,0.005,40
41,TrialState.COMPLETE,10.0,2019-08-13 23:57:23.787280,2019-08-14 00:10:55.238001,0.8856898606530628,0.01,32,10000,0.1,0.95,2,0.005,41
42,TrialState.COMPLETE,10.0,2019-08-14 00:10:55.247382,2019-08-14 00:28:12.878064,0.2414891410226706,0.0001,64,10000,0.1,0.95,7,0.01,42
43,TrialState.COMPLETE,1.7,2019-08-14 00:28:12.887591,2019-08-14 00:30:26.887286,0.28571885173414757,0.001,256,1000000,0.005,0.9999,4,0.01,43
44,TrialState.COMPLETE,3.05,2019-08-14 00:30:26.897387,2019-08-14 00:35:06.368232,0.24870020007610705,0.0005,64,1000000,0.001,0.999,5,0.0001,44
45,TrialState.COMPLETE,10.0,2019-08-14 00:35:06.378119,2019-08-14 00:46:53.068047,0.19126026919431405,0.05,16,100000,0.05,0.999,7,0.05,45
46,TrialState.COMPLETE,10.0,2019-08-14 00:46:53.077944,2019-08-14 01:00:13.306201,0.6790688365654296,0.01,32,10000,0.005,0.995,1,0.01,46
47,TrialState.COMPLETE,10.0,2019-08-14 01:00:13.316548,2019-08-14 01:23:00.188270,0.2547027541233863,0.001,128,100000,0.05,0.99,2,0.01,47
48,TrialState.COMPLETE,1.1,2019-08-14 01:23:00.199025,2019-08-14 01:30:58.686055,0.34769001815897427,0.0005,16,10000,0.0001,0.999,5,0.001,48
49,TrialState.COMPLETE,10.0,2019-08-14 01:30:58.696775,2019-08-14 02:04:52.396285,0.7550821884676802,0.05,256,10000,0.001,0.999,4,0.05,49
50,TrialState.COMPLETE,10.0,2019-08-14 02:04:52.407246,2019-08-14 02:16:31.193153,0.3821027520315172,0.1,16,100000,0.05,0.99,4,0.0001,50
51,TrialState.COMPLETE,10.0,2019-08-14 02:16:31.204263,2019-08-14 02:33:48.558544,0.5614589559305255,0.01,64,10000,0.01,0.9999,6,0.005,51
52,TrialState.COMPLETE,10.0,2019-08-14 02:33:48.569931,2019-08-14 02:45:30.094708,0.009999724800484167,0.0005,16,1000000,0.05,0.9,4,0.001,52
53,TrialState.COMPLETE,3.45,2019-08-14 02:45:30.106463,2019-08-14 02:50:28.648007,0.016462760063757687,0.001,128,10000,0.005,0.9,7,0.0001,53
54,TrialState.COMPLETE,10.0,2019-08-14 02:50:28.659696,2019-08-14 03:04:04.213950,0.5724885171916063,0.1,32,1000000,0.0001,0.9999,5,0.01,54
55,TrialState.COMPLETE,3.85,2019-08-14 03:04:04.225160,2019-08-14 03:07:02.992317,0.06703205008588631,0.001,64,1000000,0.0001,0.995,2,0.0005,55
56,TrialState.COMPLETE,6.35,2019-08-14 03:07:03.004854,2019-08-14 03:21:13.098473,0.044417941433287034,0.0005,128,1000000,0.005,0.999,7,0.1,56
57,TrialState.COMPLETE,10.0,2019-08-14 03:21:13.111124,2019-08-14 03:38:18.599569,0.18737857908734257,0.1,64,10000,0.0001,0.9,1,0.1,57
58,TrialState.COMPLETE,9.55,2019-08-14 03:38:18.612240,2019-08-14 04:12:18.594248,0.5925118687657968,0.05,256,100000,0.01,0.95,4,0.01,58
59,TrialState.COMPLETE,10.0,2019-08-14 04:12:18.607166,2019-08-14 04:46:16.790825,0.21868290089734865,0.01,256,100000,0.0001,0.999,1,0.05,59
60,TrialState.COMPLETE,10.0,2019-08-14 04:46:16.803854,2019-08-14 04:58:13.276084,0.20819443840879148,0.05,16,10000,0.01,0.98,6,0.0005,60
61,TrialState.COMPLETE,10.0,2019-08-14 04:58:13.289773,2019-08-14 05:09:53.918789,0.6051032337074439,0.1,16,1000000,0.001,0.95,4,0.0005,61
62,TrialState.COMPLETE,2.35,2019-08-14 05:09:53.932099,2019-08-14 05:18:54.949167,0.15267164409316325,0.001,256,10000,0.01,0.99,1,0.01,62
63,TrialState.COMPLETE,10.0,2019-08-14 05:18:54.962835,2019-08-14 05:35:54.825664,0.9880646821225272,0.01,64,1000000,0.001,0.995,4,0.01,63
64,TrialState.COMPLETE,10.0,2019-08-14 05:35:54.839481,2019-08-14 05:58:40.042652,0.392940266973692,0.005,128,10000,0.001,0.9,1,0.001,64
65,TrialState.COMPLETE,10.0,2019-08-14 05:58:40.056751,2019-08-14 06:32:39.274505,0.20027141143684823,0.0005,256,10000,0.05,0.999,4,0.005,65
66,TrialState.COMPLETE,9.55,2019-08-14 06:32:39.289420,2019-08-14 06:49:50.946890,0.7592520014214575,0.01,64,10000,0.0001,0.98,4,0.0001,66
67,TrialState.COMPLETE,9.25,2019-08-14 06:49:50.961380,2019-08-14 07:01:45.764596,0.30387842848672264,0.0001,16,10000,0.005,0.999,6,0.01,67
68,TrialState.COMPLETE,10.0,2019-08-14 07:01:45.779022,2019-08-14 07:15:25.816224,0.44614623200345727,0.05,32,100000,0.0001,0.9999,7,0.0005,68
69,TrialState.COMPLETE,10.0,2019-08-14 07:15:25.831182,2019-08-14 07:28:59.266870,0.5415593788873733,0.005,32,10000,0.005,0.95,5,0.005,69
70,TrialState.COMPLETE,10.0,2019-08-14 07:28:59.281565,2019-08-14 08:02:53.517846,0.8090772415356926,0.01,256,10000,0.0001,0.999,4,0.0005,70
71,TrialState.COMPLETE,9.55,2019-08-14 08:02:53.532986,2019-08-14 08:14:46.696774,0.3141465214382342,0.01,16,10000,0.001,0.99,7,0.0005,71
72,TrialState.RUNNING,,2019-08-14 08:14:46.712641,,0.8414100590490123,0.001,256,100000,0.01,0.98,8,0.005,72
